"EnsemblID","GENE","EVENT","COORD","LENGTH","PSI.RPE1","cRPKM.RPE1","ess.RPE1.log2FC","protImpact","selection","cyclic","type.RPE1","n.exonDel","sig.exonDel","n.singleCtrl","sig.singleCtrl","n.exonic","sig.exonic","n.Cas9","n.Cpf1","sig.Cas9.single","sig.Cpf1.single","exonDel.clean","sig.exonDel.clean","frac.singleCtrl","frac.all","frac.clean","hit"
"ENSG00000001497","LAS1L","HsaEX0035418","chrX:64744465-64744494",30,28.09,21.31,-2.90487439458826,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",12,1,20,1,3,3,4,6,1,0,9,1,0.05,0.0833,0.1111,FALSE
"ENSG00000005339","CREBBP","HsaEX0017199","chr16:3827614-3827658",45,NA,11.11,-0.56785842663687,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,24,0,5,0,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000011426","ANLN","HsaEX0004615","chr7:36456689-36456799",111,77.74,230.4,-0.925797634855386,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,1,24,0,3,0,4,8,0,0,16,1,0,0.0625,0.0625,FALSE
"ENSG00000029363","BCLAF1","HsaEX0007927","chr6:136588167-136588313",147,72.75,37.02,-1.06416298071528,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres",16,0,24,1,3,0,4,8,1,0,12,0,0.0417,0,0,FALSE
"ENSG00000046647","GEMIN8","HsaEX0027312","chrX:14044259-14044340",82,NA,4.22,-3.34230172558167,"5' UTR/ncRNA","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,0,24,1,3,3,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000048707","VPS13D","HsaEX0070522","chr1:12398288-12398362",75,NA,4.45,-1.55466572509628,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,0,24,0,3,1,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000065427","KARS","HsaEX0032865","chr16:75678181-75678360",180,21.36,70.06,-2.46892157093543,"Alternative protein isoforms (Ref, Alt. ATG)","framePres/essential/AS",NA,"framePres",16,0,24,1,5,3,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000077809","GTF2I","HsaEX0028969","chr7:74133198-74133260",63,41.1,80.33,-2.09017117134194,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,0,3,2,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000080345","RIF1","HsaEX0053614","chr2:152279464-152279556",93,94.44,14.8,-0.400306129646512,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,24,0,3,0,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000083896","YTHDC1","HsaEX0072032","chr4:69198512-69198565",54,100,13.44,-1.5526332442435,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,1,4,0,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000087586","AURKA","HsaEX0007339","chr20:54965612-54965721",110,48.42,76.48,-3.70990622845446,"5' UTR/ncRNA","framePres/essential/AS",TRUE,"framePres/essential",16,2,24,3,3,3,4,8,2,0,8,0,0.125,0.125,0,FALSE
"ENSG00000090989","EXOC1","HsaEX0023429","chr4:56755054-56755098",45,18.42,15.42,-2.34619329847556,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,2,24,0,3,1,4,8,0,0,16,2,0,0.125,0.125,FALSE
"ENSG00000100294","MCAT","HsaEX0038186","chr22:43533087-43533304",218,80.77,10.51,-1.43793614296221,"Alternative protein isoforms (No Ref, Alt. Stop)","framePres/essential/AS",NA,"framePres",16,1,24,2,5,1,4,8,1,1,11,0,0.0833,0.0625,0,FALSE
"ENSG00000100296","THOC5","HsaEX0064869","chr22:29927067-29927099",33,77.09,11.49,-2.40625760483689,"Alternative protein isoforms (No Ref)","framePres/essential/AS",TRUE,"framePres",16,2,24,1,3,1,4,8,0,1,14,1,0.0417,0.125,0.0714,FALSE
"ENSG00000100296","THOC5","HsaEX0064870","chr22:29946717-29946824",108,42.86,11.49,-2.40625760483689,"5' UTR/ncRNA","framePres/essential/AS",NA,"framePres",16,2,24,0,0,0,4,8,0,0,16,2,0,0.125,0.125,FALSE
"ENSG00000100890","KIAA0391","HsaEX0033600","chr14:35595941-35595988",48,79.75,16.85,-0.462285586070433,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,1,24,0,3,0,4,8,0,0,16,1,0,0.0625,0.0625,FALSE
"ENSG00000101639","CEP192","HsaEX0014740","chr18:13071038-13071211",174,100,8.9,-0.095767840330846,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,24,0,4,1,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000103197","TSC2","HsaEX0067508","chr16:2127599-2127727",129,12,11.8,1.72392471453986,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,24,1,3,1,4,8,1,0,12,0,0.0417,0,0,FALSE
"ENSG00000103995","CEP152","HsaEX0014698","chr15:49040640-49040807",168,NA,5.82,-2.21565980781107,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres",16,0,24,0,5,2,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000104299","INTS9","HsaEX0031958","chr8:28704264-28704326",63,NA,6.5,-4.19753062944424,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",16,1,24,1,5,5,4,8,0,1,14,1,0.0417,0.0625,0.0714,FALSE
"ENSG00000105341","ATP5SL","HsaEX0006943","chr19:41942334-41942377",44,88.73,18.97,-0.22859395693443,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,1,24,0,3,0,4,8,0,0,16,1,0,0.0625,0.0625,FALSE
"ENSG00000105486","LIG1","HsaEX0035774","chr19:48665519-48665608",90,98.29,28.18,-0.910943689281586,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,24,0,5,0,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000108064","TFAM","HsaEX0064590","chr10:60150525-60150620",96,84.8,12,-1.41380668274348,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,2,24,0,3,1,4,8,0,0,16,2,0,0.125,0.125,FALSE
"ENSG00000108312","UBTF","HsaEX0069042","chr17:42289712-42289822",111,39.5,37.66,-4.46978393431318,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",1,0,4,0,3,3,1,1,0,0,1,0,0,0,0,FALSE
"ENSG00000110536","PTPMT1","HsaEX0050944","chr11:47591252-47591443",192,53.94,36.84,-1.83229245562502,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,4,24,2,3,1,4,8,0,2,12,3,0.0833,0.25,0.25,TRUE
"ENSG00000115163","CENPA","HsaEX0014564","chr2:27015624-27015701",78,83.5,31.59,-1.07257363968357,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,0,5,2,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000119523","ALG2","HsaEX0003702","chr9:101983261-101983419",159,NA,16.27,-2.47235154823262,"5' UTR/ncRNA","framePres/essential/AS",TRUE,"framePres",16,0,24,1,3,2,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000119616","FCF1","HsaEX0025397","chr14:75181580-75181646",67,NA,29.21,-3.20706115970752,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",16,0,24,0,2,2,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000122257","RBBP6","HsaEX0052533","chr16:24579113-24579214",102,NA,14.1,-3.95320681385086,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",16,0,24,2,3,3,4,8,2,0,8,0,0.0833,0,0,FALSE
"ENSG00000122966","CIT","HsaEX0015430","chr12:120148854-120148898",45,67.65,23.64,1.36885702034602,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,2,24,0,3,0,4,8,0,0,16,2,0,0.125,0.125,FALSE
